종목,심볼번호,고유번호,업종,업종코드,WICS,WICS코드,time,avg_salary,employee_num,자산총계,부채총계,자본총계,매출액,당기순이익,시가,발행주식
카카오,258801,35720,서비스업,26.0,양방향미디어와서비스,G502050,2016_4,72620639.5,2697,"5,484,117,180,416","1,781,173,329,468","3,702,943,850,948","1,464,232,790,315","65,455,116,983",15534,"67,615,715"
카카오,258801,35720,서비스업,26.0,양방향미디어와서비스,G502050,2017_1,18818670.0,2692,"5,494,637,681,345","1,747,671,806,745","3,746,965,874,600","443,786,599,893","54,485,548,398",16759,"67,716,172"
카카오,258801,35720,서비스업,26.0,양방향미디어와서비스,G502050,2017_2,36133627.0,2689,"5,810,052,118,888","1,817,898,693,962","3,992,153,424,926","468,442,772,945","12,502,580,952",20131,"67,781,135"
카카오,258801,35720,서비스업,26.0,양방향미디어와서비스,G502050,2017_3,52467865.5,2629,"6,494,097,939,872","2,048,873,064,957","4,445,224,874,915","515,412,543,057","39,901,788,492",29504,"67,839,099"
카카오,258801,35720,서비스업,26.0,양방향미디어와서비스,G502050,2017_4,68666589.5,2549,"6,349,428,454,887","1,841,608,649,520","4,507,819,805,367",-,"125,093,899,312",28100,"67,908,527"
카카오,258801,35720,서비스업,26.0,양방향미디어와서비스,G502050,2018_1,23352232.0,2623,"7,724,874,126,348","1,972,722,709,846","5,752,151,416,502",-,"14,649,452,555",26594,"76,273,522"
카카오,258801,35720,서비스업,26.0,양방향미디어와서비스,G502050,2018_2,39901688.5,2621,"7,734,027,089,020","1,951,012,747,364","5,783,014,341,656",-,"22,494,359,446",23180,"76,285,622"
카카오,258801,35720,서비스업,26.0,양방향미디어와서비스,G502050,2018_3,65522693.0,3052,"7,710,898,617,892","2,126,314,762,356","5,584,583,855,536",-,"7,384,215,276",24084,"83,385,673"
카카오,258801,35720,서비스업,26.0,양방향미디어와서비스,G502050,2018_4,81271592.5,2705,"7,959,542,105,267","2,332,384,540,899","5,627,157,564,368",-,"15,888,859,209",20774,"83,387,773"
카카오,258801,35720,서비스업,26.0,양방향미디어와서비스,G502050,2019_1,21040884.0,2764,"8,074,978,102,543","2,437,025,878,531","5,637,952,224,012",-,"17,563,668,178",20772,"83,397,873"
카카오,258801,35720,서비스업,26.0,양방향미디어와서비스,G502050,2019_2,38087874.0,2794,"8,178,307,832,023","2,512,320,775,786","5,665,987,056,237",-,"30,992,493,982",26592,"83,458,773"
카카오,258801,35720,서비스업,26.0,양방향미디어와서비스,G502050,2019_3,57888590.5,2857,"8,785,300,175,527","2,901,354,765,472","5,883,945,410,055",-,"51,454,314,410",26996,"83,869,946"
카카오,258801,35720,서비스업,26.0,양방향미디어와서비스,G502050,2019_4,77000000.0,2701,"8,737,255,755,774","2,997,138,004,486","5,740,117,751,288",-,"-341,924,578,348",30909,"86,222,636"
카카오,258801,35720,서비스업,26.0,양방향미디어와서비스,G502050,2020_1,26000000.0,2716,"9,495,806,064,231","3,447,995,710,427","6,047,810,353,804",-,"79,899,414,481",31111,"86,957,175"
