종목,심볼번호,고유번호,업종,업종코드,WICS,WICS코드,time,avg_salary,employee_num,자산총계,부채총계,자본총계,매출액,당기순이익,시가,발행주식,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
엘앤에프,398701,66970,IT부품,160,전기제품,G453520,2018_4,42647000000,481,"330,981,611,163","187,992,116,545","142,989,494,618","505,664,305,453","19,883,670,519",34211,"24,757,675",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
엘앤에프,398701,66970,IT부품,160,전기제품,G453520,2019_1,11156000,491,"334,173,086,019","194,982,793,064","139,190,292,955","87,719,971,518","1,903,922,490",26840,"24,758,729",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
엘앤에프,398701,66970,IT부품,160,전기제품,G453520,2019_2,19504500,544,"333,959,080,062","196,939,865,243","137,019,214,819","69,197,638,051","2,119,036,725",25866,"24,758,729",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
엘앤에프,398701,66970,IT부품,160,전기제품,G453520,2019_3,29825500,590,"363,067,363,162","228,282,486,086","134,784,877,076","71,388,815,530","2,000,188,728",20210,"24,758,729",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
엘앤에프,398701,66970,IT부품,160,전기제품,G453520,2019_4,41006000,576,"416,201,278,724","284,380,746,162","131,820,532,562","313,264,234,672","8,809,230,051",20535,"24,758,729",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
엘앤에프,398701,66970,IT부품,160,전기제품,G453520,2020_1,12318000,560,"433,039,129,289","299,279,407,842","133,759,721,447","102,045,471,347","2,758,537,713",16595,"24,758,729",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
엘앤에프,398701,66970,IT부품,160,전기제품,G453520,2020_2,22334500,557,"429,485,818,917","295,168,889,681","134,316,929,236","69,058,638,912","597,881,918",30039,"24,758,729",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
엘앤에프,398701,66970,IT부품,160,전기제품,G453520,2020_3,33404000,576,"470,273,524,584","257,462,231,874","212,811,292,710","84,245,947,166","3,508,898,683",39721,"28,058,729",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
엘앤에프,398701,66970,IT부품,160,전기제품,G453520,2020_4,40594500,651,"466,217,399,194","268,611,553,374","197,605,845,820","356,105,956,054","15,018,130,143",70979,"28,058,729",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
카카오게임즈,1137383,293490,디지털컨텐츠,154,게임엔터테인먼트,G502040,2015_1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
카카오게임즈,1137383,293490,디지털컨텐츠,154,게임엔터테인먼트,G502040,2015_2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
카카오게임즈,1137383,293490,디지털컨텐츠,154,게임엔터테인먼트,G502040,2015_3,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
카카오게임즈,1137383,293490,디지털컨텐츠,154,게임엔터테인먼트,G502040,2015_4,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
카카오게임즈,1137383,293490,디지털컨텐츠,154,게임엔터테인먼트,G502040,2016_1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
카카오게임즈,1137383,293490,디지털컨텐츠,154,게임엔터테인먼트,G502040,2016_2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
