종목,심볼번호,고유번호,업종,업종코드,WICS,WICS코드,분기,자산,부채,자본,매출액,액면가
에코프로,536541,86520,IT부품,160,화학,G151010,2020_2,1.08991E+12,6.19831E+11,4.70079E+11,2.09384E+11,20658
에코프로,536541,86520,IT부품,160,화학,G151010,2020_3,1.1822E+12,6.50991E+11,5.31214E+11,2.8282E+11,30512
에코프로,536541,86520,IT부품,160,화학,G151010,2020_4,1.28316E+12,6.94451E+11,5.88714E+11,9.4681E+11,34833
CJ ENM,265324,35760,방송서비스,152,방송과엔터테인먼트,G502020,2015_4,2.98823E+12,1.6381E+12,1.35013E+12,2.30861E+12,189400
CJ ENM,265324,35760,방송서비스,152,방송과엔터테인먼트,G502020,2016_1,2.95584E+12,1.57702E+12,1.37882E+12,5.43958E+11,196200
CJ ENM,265324,35760,방송서비스,152,방송과엔터테인먼트,G502020,2016_2,2.84874E+12,1.45413E+12,1.39461E+12,5.54871E+11,175600
CJ ENM,265324,35760,방송서비스,152,방송과엔터테인먼트,G502020,2016_3,2.84476E+12,1.41922E+12,1.42554E+12,5.40242E+11,160100
CJ ENM,265324,35760,방송서비스,152,방송과엔터테인먼트,G502020,2016_4,2.75359E+12,1.3907E+12,1.36289E+12,2.2086E+12,162900
CJ ENM,265324,35760,방송서비스,152,방송과엔터테인먼트,G502020,2017_1,2.74388E+12,1.37562E+12,1.36827E+12,5.46377E+11,207000
CJ ENM,265324,35760,방송서비스,152,방송과엔터테인먼트,G502020,2017_2,2.70045E+12,1.28567E+12,1.41478E+12,5.63376E+11,193900
CJ ENM,265324,35760,방송서비스,152,방송과엔터테인먼트,G502020,2017_3,2.87643E+12,1.43884E+12,1.43759E+12,5.40693E+11,199000
CJ ENM,265324,35760,방송서비스,152,방송과엔터테인먼트,G502020,2017_4,2.80182E+12,1.31771E+12,1.4841E+12,2.26001E+12,230900
CJ ENM,265324,35760,방송서비스,152,방송과엔터테인먼트,G502020,2018_1,2.88655E+12,1.32969E+12,1.55686E+12,5.64716E+11,223600
CJ ENM,265324,35760,방송서비스,152,방송과엔터테인먼트,G502020,2018_2,2.91626E+12,1.53448E+12,1.38178E+12,5.85221E+11,279400
CJ ENM,265324,35760,방송서비스,152,방송과엔터테인먼트,G502020,2018_3,6.79913E+12,3.38606E+12,3.41308E+12,1.07863E+12,248900
CJ ENM,265324,35760,방송서비스,152,방송과엔터테인먼트,G502020,2018_4,6.75495E+12,3.3293E+12,3.42565E+12,3.42682E+12,202700
CJ ENM,265324,35760,방송서비스,152,방송과엔터테인먼트,G502020,2019_1,6.96844E+12,3.47902E+12,3.48942E+12,1.1048E+12,233900
CJ ENM,265324,35760,방송서비스,152,방송과엔터테인먼트,G502020,2019_2,7.38255E+12,3.82484E+12,3.55771E+12,1.26042E+12,178400
CJ ENM,265324,35760,방송서비스,152,방송과엔터테인먼트,G502020,2019_3,7.38592E+12,3.78746E+12,3.59846E+12,1.15307E+12,171000
CJ ENM,265324,35760,방송서비스,152,방송과엔터테인먼트,G502020,2019_4,5.43491E+12,2.28301E+12,3.15189E+12,3.78972E+12,159300
CJ ENM,265324,35760,방송서비스,152,방송과엔터테인먼트,G502020,2020_1,5.66165E+12,2.48533E+12,3.17632E+12,8.10767E+11,104500
CJ ENM,265324,35760,방송서비스,152,방송과엔터테인먼트,G502020,2020_2,5.978E+12,2.58543E+12,3.39256E+12,8.37527E+11,106500
CJ ENM,265324,35760,방송서비스,152,방송과엔터테인먼트,G502020,2020_3,5.87004E+12,2.44195E+12,3.42809E+12,7.9862E+11,143200
CJ ENM,265324,35760,방송서비스,152,방송과엔터테인먼트,G502020,2020_4,6.27992E+12,2.49474E+12,3.78518E+12,3.39118E+12,140000
알테오젠,989619,196170,연구·개발,98,생물공학,G352010,2015_4,39385453998,834622780,38550831218,4726609249,6692
알테오젠,989619,196170,연구·개발,98,생물공학,G352010,2016_1,38943547046,897284900,38046262146,684974788,5800
