name,symbol,stock_code,type,type_code,WICS,WICS_code,time,assets,dept,equity,income,real_income,price,stock_count,total_value
기아,106641,270,운수장비,15,자동차,G251020,2020_3,6.19E+13,3.29E+13,2.90E+13,1.63E+13,1.34E+11,47450,405363347,1.92E+13
기아,106641,270,운수장비,15,자동차,G251020,2020_4,6.05E+13,3.06E+13,2.99E+13,5.92E+13,1.49E+12,62400,405363347,2.53E+13
셀트리온,413046,68270,의약품,9,제약,G352020,2015_4,2.75E+12,9.38E+11,1.81E+12,6.03E+11,1.58E+11,73269,112431663,8.24E+12
셀트리온,413046,68270,의약품,9,제약,G352020,2016_1,2.74E+12,7.55E+11,1.98E+12,1.08E+11,11802293898,94708,116429228,1.10E+13
셀트리온,413046,68270,의약품,9,제약,G352020,2016_2,2.86E+12,7.92E+11,2.06E+12,1.85E+11,59597356551,82226,116589842,9.59E+12
셀트리온,413046,68270,의약품,9,제약,G352020,2016_3,2.92E+12,7.95E+11,2.12E+12,1.68E+11,58613294621,93076,116589842,1.09E+13
셀트리온,413046,68270,의약품,9,제약,G352020,2016_4,3.02E+12,8.23E+11,2.20E+12,6.71E+11,1.80E+11,97219,116598327,1.13E+13
셀트리온,413046,68270,의약품,9,제약,G352020,2017_1,3.07E+12,8.38E+11,2.23E+12,1.97E+11,67093736595,81317,122426543,9.96E+12
셀트리온,413046,68270,의약품,9,제약,G352020,2017_2,3.16E+12,8.16E+11,2.35E+12,2.46E+11,1.15E+11,102731,122604401,1.26E+13
셀트리온,413046,68270,의약품,9,제약,G352020,2017_3,3.29E+12,8.27E+11,2.46E+12,2.32E+11,1.14E+11,132187,122635222,1.62E+13
셀트리온,413046,68270,의약품,9,제약,G352020,2017_4,3.46E+12,8.87E+11,2.57E+12,9.49E+11,4.01E+11,206047,122666424,2.53E+13
셀트리온,413046,68270,의약품,9,제약,G352020,2018_1,3.52E+12,8.84E+11,2.64E+12,2.45E+11,83239210885,286123,125108377,3.58E+13
셀트리온,413046,68270,의약품,9,제약,G352020,2018_2,3.57E+12,8.37E+11,2.73E+12,2.63E+11,82973481832,279215,125395903,3.50E+13
셀트리온,413046,68270,의약품,9,제약,G352020,2018_3,3.46E+12,8.17E+11,2.65E+12,2.31E+11,54661186777,273685,125395903,3.43E+13
셀트리온,413046,68270,의약품,9,제약,G352020,2018_4,3.54E+12,9.08E+11,2.63E+12,9.82E+11,2.54E+11,210570,125456133,2.64E+13
셀트리온,413046,68270,의약품,9,제약,G352020,2019_1,3.50E+12,8.59E+11,2.64E+12,2.22E+11,63021445145,169300,127953489,2.17E+13
셀트리온,413046,68270,의약품,9,제약,G352020,2019_2,3.68E+12,9.42E+11,2.74E+12,2.35E+11,78290987720,193218,128329070,2.48E+13
